| end of split 207 /500 | epoch   1 | time: 13.32s | valid loss 1.2648 | valid ppl 3.5423 | learning rate 0.3125
| end of split 208 /500 | epoch   1 | time: 13.17s | valid loss 1.2646 | valid ppl 3.5417 | learning rate 0.3125
| end of split 209 /500 | epoch   1 | time: 13.08s | valid loss 1.2643 | valid ppl 3.5406 | learning rate 0.3125
| end of split 210 /500 | epoch   1 | time: 13.15s | valid loss 1.2629 | valid ppl 3.5358 | learning rate 0.3125
| end of split 211 /500 | epoch   1 | time: 13.34s | valid loss 1.2631 | valid ppl 3.5364 | learning rate 0.3125
| end of split 212 /500 | epoch   1 | time: 13.13s | valid loss 1.2629 | valid ppl 3.5358 | learning rate 0.3125
| end of split 213 /500 | epoch   1 | time: 13.28s | valid loss 1.2635 | valid ppl 3.5379 | learning rate 0.3125
| end of split 214 /500 | epoch   1 | time: 13.30s | valid loss 1.2634 | valid ppl 3.5376 | learning rate 0.3125
| end of split 215 /500 | epoch   1 | time: 12.81s | valid loss 1.2644 | valid ppl 3.5410 | learning rate 0.3125
| end of split 216 /500 | epoch   1 | time: 12.82s | valid loss 1.2631 | valid ppl 3.5362 | learning rate 0.3125
| end of split 217 /500 | epoch   1 | time: 12.83s | valid loss 1.2615 | valid ppl 3.5308 | learning rate 0.3125
| end of split 218 /500 | epoch   1 | time: 12.93s | valid loss 1.2605 | valid ppl 3.5272 | learning rate 0.3125
| end of split 219 /500 | epoch   1 | time: 12.73s | valid loss 1.2613 | valid ppl 3.5300 | learning rate 0.3125
| end of split 220 /500 | epoch   1 | time: 12.91s | valid loss 1.2593 | valid ppl 3.5229 | learning rate 0.3125
| end of split 221 /500 | epoch   1 | time: 12.85s | valid loss 1.2602 | valid ppl 3.5263 | learning rate 0.3125
| end of split 222 /500 | epoch   1 | time: 13.27s | valid loss 1.2604 | valid ppl 3.5268 | learning rate 0.3125
| end of split 223 /500 | epoch   1 | time: 13.07s | valid loss 1.2604 | valid ppl 3.5268 | learning rate 0.3125
| end of split 224 /500 | epoch   1 | time: 13.05s | valid loss 1.2563 | valid ppl 3.5123 | learning rate 0.3125
| end of split 225 /500 | epoch   1 | time: 13.29s | valid loss 1.2586 | valid ppl 3.5206 | learning rate 0.3125
| end of split 226 /500 | epoch   1 | time: 12.96s | valid loss 1.2570 | valid ppl 3.5150 | learning rate 0.3125
| end of split 227 /500 | epoch   1 | time: 13.07s | valid loss 1.2599 | valid ppl 3.5251 | learning rate 0.3125
| end of split 228 /500 | epoch   1 | time: 13.00s | valid loss 1.2578 | valid ppl 3.5177 | learning rate 0.3125
| end of split 229 /500 | epoch   1 | time: 12.93s | valid loss 1.2584 | valid ppl 3.5199 | learning rate 0.3125
| end of split 230 /500 | epoch   1 | time: 13.20s | valid loss 1.2607 | valid ppl 3.5278 | learning rate 0.3125
| end of split 231 /500 | epoch   1 | time: 13.15s | valid loss 1.2580 | valid ppl 3.5184 | learning rate 0.3125
| end of split 232 /500 | epoch   1 | time: 13.11s | valid loss 1.2589 | valid ppl 3.5215 | learning rate 0.3125
| end of split 233 /500 | epoch   1 | time: 13.02s | valid loss 1.2602 | valid ppl 3.5260 | learning rate 0.3125
| end of split 234 /500 | epoch   1 | time: 13.01s | valid loss 1.2580 | valid ppl 3.5185 | learning rate 0.3125
| end of split 235 /500 | epoch   1 | time: 12.96s | valid loss 1.2597 | valid ppl 3.5245 | learning rate 0.3125
| end of split 236 /500 | epoch   1 | time: 12.88s | valid loss 1.2598 | valid ppl 3.5249 | learning rate 0.0781
| end of split 237 /500 | epoch   1 | time: 12.90s | valid loss 1.2600 | valid ppl 3.5253 | learning rate 0.0781
